86.91748,15.13446
88.84595,15.08293
90.77441,15.04097
92.70288,15.16322
94.63135,15.60741
96.55981,16.16539
98.48828,16.54152
100.4167,16.45671
102.3452,16.47128
104.2737,16.77449
106.2021,17.36995
108.1306,18.27058
110.0591,19.41683
111.9875,20.86309
113.916,22.96075
115.8445,25.8113
117.7729,29.18375
119.7014,33.12199
121.6299,37.6809
123.5583,42.31498
125.4868,47.12611
127.4153,51.99153
129.3438,56.21711
131.2722,57.62346
133.2007,57.29689
135.1292,57.28971
137.0576,57.03226
138.9861,58.06315
140.9146,60.39989
142.843,63.96916
144.7715,68.46172
146.7,74.55486
148.6284,81.03569
150.5569,87.50708
152.4854,96.26515
154.4138,101.7754
156.3423,101.9899
158.2708,98.14368
160.1992,93.46403
162.1277,87.19477
164.0562,80.64463
165.9846,75.10222
167.9131,70.40095
169.8416,66.6664
171.77,63.91885
173.6985,62.20945
175.627,60.81233
177.5554,59.70855
179.4839,58.89656
181.4124,58.33671
183.3408,58.19411
185.2693,58.00333
187.1978,57.54144
189.1262,56.86921
191.0547,56.55842
192.9832,56.64472
194.9116,57.15434
196.8401,58.00852
198.7686,58.24361
200.697,59.86309
202.6255,62.80204
204.554,67.02421
206.4824,73.79909
208.4109,86.38053
210.3394,99.89412
212.2678,110.8477
214.1963,119.16
216.1248,125.975
218.0532,128.3455
219.9817,126.6041
221.9102,134.9528
223.8386,147.6994
225.7671,172.8975
227.6956,216.7648
229.624,277.9454
231.5525,354.5021
233.481,458.0493
235.4094,582.7026
237.3379,680.8563
239.2664,763.0795
241.1948,815.9144
243.1233,820.7501
245.0518,753.789
246.9802,685.9838
248.9087,618.5357
250.8372,554.9117
252.7656,520.131
254.6941,514.7666
256.6226,547.6046
258.551,619.1533
260.4795,750.897
262.408,885.7172
264.3364,1062.565
266.2649,1243.488
268.1934,1354.411
270.1218,1345.856
272.0503,1308.313
273.9788,1241.453
275.9072,1127.019
277.8357,1026.622
279.7642,984.8426
281.6926,967.5243
283.6211,943.8312
285.5496,917.3514
287.478,874.1119
289.4065,841.2279
291.335,772.0208
293.2634,702.9296
